val_loss,AP_0,AP_1,mAP,epoch,created_at
0.008716542273759842,,0.43978186429819266,0.43978186429819266,0,2023-10-31 01:57:47.226403
0.006900842767208815,,0.6303383021876746,0.6303383021876746,1,2023-10-31 01:58:33.403056
0.006355642806738615,,0.6919237458755877,0.6919237458755877,2,2023-10-31 01:59:19.948365
0.005794494412839413,,0.7429309133749076,0.7429309133749076,3,2023-10-31 02:00:06.766416
0.005707125645130873,,0.7533353914729519,0.7533353914729519,4,2023-10-31 02:00:52.892268
0.005767082329839468,,0.7502778993222433,0.7502778993222433,5,2023-10-31 02:01:41.568146
0.005870225373655558,,0.7532617404618076,0.7532617404618076,6,2023-10-31 02:02:42.794839
0.00583103159442544,,0.767427993529046,0.767427993529046,7,2023-10-31 02:03:31.973640
0.005068010650575161,,0.7782479254663234,0.7782479254663234,8,2023-10-31 02:04:18.280534
0.0054333885200321674,,0.7690561407561756,0.7690561407561756,9,2023-10-31 02:05:03.926815
0.005618387833237648,,0.7650961450134235,0.7650961450134235,10,2023-10-31 02:05:49.567729
0.0052612717263400555,,0.7777030199746856,0.7777030199746856,11,2023-10-31 02:06:35.390801
0.0056792618706822395,,0.7757150189096448,0.7757150189096448,12,2023-10-31 02:07:21.085246
0.005167375784367323,,0.7766804340197908,0.7766804340197908,13,2023-10-31 02:08:06.966822
0.005371373612433672,,0.7609143869444619,0.7609143869444619,14,2023-10-31 02:08:52.671770
0.005564191844314337,,0.7768159721336307,0.7768159721336307,15,2023-10-31 02:09:38.433486
0.005694088060408831,,0.7841269950077066,0.7841269950077066,16,2023-10-31 02:10:24.659400
0.005446373950690031,,0.773951719390323,0.773951719390323,17,2023-10-31 02:11:10.546418
0.005613155663013458,,0.7960889277490657,0.7960889277490657,18,2023-10-31 02:11:57.334694
0.005410023033618927,,0.7714842280145228,0.7714842280145228,19,2023-10-31 02:12:43.201137
0.005182050634175539,,0.7750344134118022,0.7750344134118022,20,2023-10-31 02:13:28.922057
0.005391452927142382,,0.7800904029663274,0.7800904029663274,21,2023-10-31 02:14:14.597479
0.00568208796903491,,0.7817010476223235,0.7817010476223235,22,2023-10-31 02:15:00.370824
0.005669775418937206,,0.7864630376527622,0.7864630376527622,23,2023-10-31 02:15:46.075145
0.00579698383808136,,0.7818619830812792,0.7818619830812792,24,2023-10-31 02:16:31.950781
0.005581039935350418,,0.7782729674198574,0.7782729674198574,25,2023-10-31 02:17:17.954815
0.005644116550683975,,0.7802983204521432,0.7802983204521432,26,2023-10-31 02:18:03.764850
0.005599960219115019,,0.7682741409705889,0.7682741409705889,27,2023-10-31 02:18:49.960852
0.0056821671314537525,,0.7829796119357157,0.7829796119357157,28,2023-10-31 02:19:35.716121
0.00539008853957057,,0.7947643749920124,0.7947643749920124,29,2023-10-31 02:20:21.475057
0.005955043248832226,,0.7852612616927496,0.7852612616927496,30,2023-10-31 02:21:07.273023
0.005476003512740135,,0.7794201560082643,0.7794201560082643,31,2023-10-31 02:21:53.027323
0.005410763435065746,,0.7888804803298867,0.7888804803298867,32,2023-10-31 02:22:38.913640
0.005904138553887606,,0.7970443520493858,0.7970443520493858,33,2023-10-31 02:23:25.228041
0.005409920122474432,,0.7957314092795633,0.7957314092795633,34,2023-10-31 02:24:11.423056
0.0056004305370152,,0.7853106669605242,0.7853106669605242,35,2023-10-31 02:24:57.138601
0.005621002987027168,,0.7841102488485189,0.7841102488485189,36,2023-10-31 02:25:42.953728
0.005842407699674368,,0.7930763971173812,0.7930763971173812,37,2023-10-31 02:26:28.807300
0.005534484516829252,,0.7875250527375631,0.7875250527375631,38,2023-10-31 02:27:14.579067

Program ran for 30.301 minutes



T.RandomBrightness(0.9, 1.1),  # Add your image augmentations
                T.RandomFlip(prob=0.5),
                T.RandomContrast(0.6, 1.3),
                T.RandomSaturation(0.8, 1.4),
                T.RandomLighting(0.7),